Tempo,Na,Cl,NaCl
10.433333333333431,25.0,15.0,30.0
10.450000000000099,25.0,15.0,30.0
10.466666666666766,25.0,15.0,30.0
10.483333333333434,25.0,15.0,30.0
10.500000000000101,25.0,15.0,30.0
10.516666666666769,25.0,15.0,30.0
10.533333333333436,25.0,15.0,30.0
10.550000000000104,25.0,15.0,30.0
10.566666666666771,25.0,15.0,30.0
10.583333333333439,25.0,15.0,30.0
10.600000000000106,25.0,15.0,30.0
10.616666666666774,25.0,15.0,30.0
10.633333333333441,25.0,15.0,30.0
10.650000000000109,25.0,15.0,30.0
10.666666666666776,25.0,15.0,30.0
10.683333333333444,25.0,15.0,30.0
10.700000000000111,25.0,15.0,30.0
10.716666666666779,25.0,15.0,30.0
10.733333333333446,25.0,15.0,30.0
10.750000000000114,25.0,15.0,30.0
10.766666666666781,25.0,15.0,30.0
10.783333333333449,25.0,15.0,30.0
10.800000000000116,25.0,15.0,30.0
10.816666666666784,25.0,15.0,30.0
10.833333333333451,25.0,15.0,30.0
10.850000000000119,25.0,15.0,30.0
10.866666666666786,25.0,15.0,30.0
10.883333333333454,25.0,15.0,30.0
10.900000000000121,25.0,15.0,30.0
10.916666666666789,25.0,15.0,30.0
10.933333333333456,25.0,15.0,30.0
10.950000000000124,25.0,15.0,30.0
10.966666666666791,25.0,15.0,30.0
10.983333333333459,25.0,15.0,30.0
11.000000000000126,25.0,15.0,30.0
11.016666666666794,25.0,15.0,30.0
11.033333333333461,25.0,15.0,30.0
11.050000000000129,25.0,15.0,30.0
11.066666666666796,25.0,15.0,30.0
11.083333333333464,25.0,15.0,30.0
11.100000000000131,25.0,15.0,30.0
11.116666666666799,25.0,15.0,30.0
11.133333333333466,25.0,15.0,30.0
11.150000000000134,25.0,15.0,30.0
11.166666666666801,25.0,15.0,30.0
11.183333333333469,25.0,15.0,30.0
11.200000000000136,25.0,15.0,30.0
11.216666666666804,25.0,15.0,30.0
11.233333333333471,25.0,15.0,30.0
11.250000000000139,25.0,15.0,30.0
11.266666666666806,25.0,15.0,30.0
11.283333333333474,25.0,15.0,30.0
11.300000000000141,25.0,15.0,30.0
11.316666666666809,25.0,15.0,30.0
11.333333333333476,25.0,15.0,30.0
11.350000000000144,25.0,15.0,30.0
11.366666666666811,25.0,15.0,30.0
11.383333333333479,25.0,15.0,30.0
11.400000000000146,25.0,15.0,30.0
11.416666666666814,25.0,15.0,30.0
11.433333333333481,25.0,15.0,30.0
11.450000000000149,25.0,15.0,30.0
